Group.1,n
"16029.Black, Non-Hispanic",0
16029.Hispanic,291
"16029.Other, Non-Hispanic",80
"16029.White, Non-Hispanic",4544
"16031.Black, Non-Hispanic",48
16031.Hispanic,3908
"16031.Other, Non-Hispanic",390
"16031.White, Non-Hispanic",11740
"16033.Black, Non-Hispanic",7
16033.Hispanic,304
"16033.Other, Non-Hispanic",28
"16033.White, Non-Hispanic",309
"16035.Black, Non-Hispanic",46
16035.Hispanic,260
"16035.Other, Non-Hispanic",340
"16035.White, Non-Hispanic",6630
"16037.Black, Non-Hispanic",5
16037.Hispanic,125
"16037.Other, Non-Hispanic",181
"16037.White, Non-Hispanic",3185
"16039.Black, Non-Hispanic",580
16039.Hispanic,2965
"16039.Other, Non-Hispanic",1503
"16039.White, Non-Hispanic",14982
"16041.Black, Non-Hispanic",35
16041.Hispanic,550
"16041.Other, Non-Hispanic",125
"16041.White, Non-Hispanic",8377
"16043.Black, Non-Hispanic",7
16043.Hispanic,1017
"16043.Other, Non-Hispanic",224
"16043.White, Non-Hispanic",8342
"16045.Black, Non-Hispanic",5
16045.Hispanic,893
"16045.Other, Non-Hispanic",470
"16045.White, Non-Hispanic",11946
"16047.Black, Non-Hispanic",7
16047.Hispanic,2682
"16047.Other, Non-Hispanic",299
"16047.White, Non-Hispanic",7996
"16049.Black, Non-Hispanic",20
16049.Hispanic,366
"16049.Other, Non-Hispanic",652
"16049.White, Non-Hispanic",12155
"16051.Black, Non-Hispanic",0
16051.Hispanic,1761
"16051.Other, Non-Hispanic",598
"16051.White, Non-Hispanic",16537
"16053.Black, Non-Hispanic",24
16053.Hispanic,5042
"16053.Other, Non-Hispanic",349
"16053.White, Non-Hispanic",11005
"16055.Black, Non-Hispanic",353
16055.Hispanic,4758
"16055.Other, Non-Hispanic",4669
"16055.White, Non-Hispanic",111358
"16057.Black, Non-Hispanic",327
16057.Hispanic,1312
"16057.Other, Non-Hispanic",1711
"16057.White, Non-Hispanic",28776
"16059.Black, Non-Hispanic",3
16059.Hispanic,185
"16059.Other, Non-Hispanic",139
"16059.White, Non-Hispanic",6029
"16061.Black, Non-Hispanic",2
16061.Hispanic,101
"16061.Other, Non-Hispanic",308
"16061.White, Non-Hispanic",2560
"16063.Black, Non-Hispanic",0
16063.Hispanic,1024
"16063.Other, Non-Hispanic",113
"16063.White, Non-Hispanic",2629
"16065.Black, Non-Hispanic",59
16065.Hispanic,1975
"16065.Other, Non-Hispanic",1052
"16065.White, Non-Hispanic",25334
"16067.Black, Non-Hispanic",17
16067.Hispanic,4689
"16067.Other, Non-Hispanic",380
"16067.White, Non-Hispanic",9711
"16069.Black, Non-Hispanic",140
16069.Hispanic,1019
"16069.Other, Non-Hispanic",2432
"16069.White, Non-Hispanic",28086
"16071.Black, Non-Hispanic",5
16071.Hispanic,91
"16071.Other, Non-Hispanic",42
"16071.White, Non-Hispanic",2943
"16073.Black, Non-Hispanic",52
16073.Hispanic,1932
"16073.Other, Non-Hispanic",395
"16073.White, Non-Hispanic",6154
"16075.Black, Non-Hispanic",19
16075.Hispanic,2473
"16075.Other, Non-Hispanic",658
"16075.White, Non-Hispanic",13935
"16077.Black, Non-Hispanic",5
16077.Hispanic,1492
"16077.Other, Non-Hispanic",274
"16077.White, Non-Hispanic",3576
"16079.Black, Non-Hispanic",42
16079.Hispanic,313
"16079.Other, Non-Hispanic",431
"16079.White, Non-Hispanic",9270
"16081.Black, Non-Hispanic",0
16081.Hispanic,1224
"16081.Other, Non-Hispanic",172
"16081.White, Non-Hispanic",7151
"16083.Black, Non-Hispanic",339
16083.Hispanic,8669
"16083.Other, Non-Hispanic",2193
"16083.White, Non-Hispanic",50127
"16085.Black, Non-Hispanic",4
16085.Hispanic,482
"16085.Other, Non-Hispanic",77
"16085.White, Non-Hispanic",8328
"16087.Black, Non-Hispanic",2
16087.Hispanic,1110
"16087.Other, Non-Hispanic",282
"16087.White, Non-Hispanic",6317
"17001.Black, Non-Hispanic",1896
17001.Hispanic,656
"17001.Other, Non-Hispanic",920
"17001.White, Non-Hispanic",47694
"17003.Black, Non-Hispanic",1571
17003.Hispanic,49
"17003.Other, Non-Hispanic",24
"17003.White, Non-Hispanic",3159
"17005.Black, Non-Hispanic",1083
17005.Hispanic,491
"17005.Other, Non-Hispanic",179
"17005.White, Non-Hispanic",11676
"17007.Black, Non-Hispanic",774
17007.Hispanic,7317
"17007.Other, Non-Hispanic",1011
"17007.White, Non-Hispanic",30925
"17009.Black, Non-Hispanic",1265
17009.Hispanic,310
"17009.Other, Non-Hispanic",8
"17009.White, Non-Hispanic",3904
"17011.Black, Non-Hispanic",249
17011.Hispanic,1955
"17011.Other, Non-Hispanic",472
"17011.White, Non-Hispanic",23349
"17013.Black, Non-Hispanic",15
17013.Hispanic,12
"17013.Other, Non-Hispanic",69
"17013.White, Non-Hispanic",3725
"17015.Black, Non-Hispanic",163
17015.Hispanic,360
"17015.Other, Non-Hispanic",146
"17015.White, Non-Hispanic",10992
"17017.Black, Non-Hispanic",439
17017.Hispanic,1413
"17017.Other, Non-Hispanic",66
"17017.White, Non-Hispanic",7618
"17019.Black, Non-Hispanic",20090
17019.Hispanic,8620
"17019.Other, Non-Hispanic",22829
"17019.White, Non-Hispanic",118801
"17021.Black, Non-Hispanic",326
17021.Hispanic,378
"17021.Other, Non-Hispanic",478
"17021.White, Non-Hispanic",25004
"17023.Black, Non-Hispanic",51
17023.Hispanic,157
"17023.Other, Non-Hispanic",106
"17023.White, Non-Hispanic",11778
"17025.Black, Non-Hispanic",107
17025.Hispanic,16
"17025.Other, Non-Hispanic",226
"17025.White, Non-Hispanic",9921
"17027.Black, Non-Hispanic",1186
17027.Hispanic,769
"17027.Other, Non-Hispanic",534
"17027.White, Non-Hispanic",27170
"17029.Black, Non-Hispanic",1595
17029.Hispanic,924
"17029.Other, Non-Hispanic",983
"17029.White, Non-Hispanic",38594
"17031.Black, Non-Hispanic",931635
17031.Hispanic,909004
"17031.Other, Non-Hispanic",367243
"17031.White, Non-Hispanic",1845286
"17033.Black, Non-Hispanic",1110
17033.Hispanic,539
"17033.Other, Non-Hispanic",336
"17033.White, Non-Hispanic",13226
"17035.Black, Non-Hispanic",8
17035.Hispanic,82
"17035.Other, Non-Hispanic",92
"17035.White, Non-Hispanic",8173
"17037.Black, Non-Hispanic",5896
17037.Hispanic,7505
"17037.Other, Non-Hispanic",3423
"17037.White, Non-Hispanic",65019
"17039.Black, Non-Hispanic",68
17039.Hispanic,276
"17039.Other, Non-Hispanic",205
"17039.White, Non-Hispanic",11941
"17041.Black, Non-Hispanic",78
17041.Hispanic,924
"17041.Other, Non-Hispanic",230
"17041.White, Non-Hispanic",13477
"17043.Black, Non-Hispanic",33331
17043.Hispanic,87410
"17043.Other, Non-Hispanic",95594
"17043.White, Non-Hispanic",500242
"17045.Black, Non-Hispanic",53
17045.Hispanic,184
"17045.Other, Non-Hispanic",58
"17045.White, Non-Hispanic",13598
"17047.Black, Non-Hispanic",19
17047.Hispanic,32
"17047.Other, Non-Hispanic",48
"17047.White, Non-Hispanic",4861
"17049.Black, Non-Hispanic",159
17049.Hispanic,447
"17049.Other, Non-Hispanic",337
"17049.White, Non-Hispanic",25130
"17051.Black, Non-Hispanic",1007
17051.Hispanic,269
"17051.Other, Non-Hispanic",250
"17051.White, Non-Hispanic",15586
"17053.Black, Non-Hispanic",108
17053.Hispanic,268
"17053.Other, Non-Hispanic",212
"17053.White, Non-Hispanic",9667
"17055.Black, Non-Hispanic",223
17055.Hispanic,410
"17055.Other, Non-Hispanic",420
"17055.White, Non-Hispanic",29256
"17057.Black, Non-Hispanic",1204
17057.Hispanic,902
"17057.Other, Non-Hispanic",371
"17057.White, Non-Hispanic",25654
"17059.Black, Non-Hispanic",26
17059.Hispanic,56
"17059.Other, Non-Hispanic",60
"17059.White, Non-Hispanic",3884
"17061.Black, Non-Hispanic",182
17061.Hispanic,130
"17061.Other, Non-Hispanic",120
"17061.White, Non-Hispanic",9971
"17063.Black, Non-Hispanic",472
17063.Hispanic,3185
"17063.Other, Non-Hispanic",792
"17063.White, Non-Hispanic",33335
"17065.Black, Non-Hispanic",32
17065.Hispanic,35
"17065.Other, Non-Hispanic",12
"17065.White, Non-Hispanic",6285
"17067.Black, Non-Hispanic",100
17067.Hispanic,184
"17067.Other, Non-Hispanic",150
"17067.White, Non-Hispanic",13760
"17069.Black, Non-Hispanic",106
17069.Hispanic,19
"17069.Other, Non-Hispanic",17
"17069.White, Non-Hispanic",3122
"17071.Black, Non-Hispanic",9
17071.Hispanic,88
"17071.Other, Non-Hispanic",91
"17071.White, Non-Hispanic",5363
"17073.Black, Non-Hispanic",604
17073.Hispanic,1767
"17073.Other, Non-Hispanic",589
"17073.White, Non-Hispanic",35291
"17075.Black, Non-Hispanic",162
17075.Hispanic,1190
"17075.Other, Non-Hispanic",400
"17075.White, Non-Hispanic",19988
"17077.Black, Non-Hispanic",6754
17077.Hispanic,1824
"17077.Other, Non-Hispanic",2774
"17077.White, Non-Hispanic",35980
"17079.Black, Non-Hispanic",23
17079.Hispanic,29
"17079.Other, Non-Hispanic",120
"17079.White, Non-Hispanic",7196
"17081.Black, Non-Hispanic",2435
17081.Hispanic,704
"17081.Other, Non-Hispanic",649
"17081.White, Non-Hispanic",25757
"17083.Black, Non-Hispanic",70
17083.Hispanic,204
"17083.Other, Non-Hispanic",369
"17083.White, Non-Hispanic",16736
"17085.Black, Non-Hispanic",107
17085.Hispanic,369
"17085.Other, Non-Hispanic",220
"17085.White, Non-Hispanic",16767
"17087.Black, Non-Hispanic",1408
17087.Hispanic,368
"17087.Other, Non-Hispanic",57
"17087.White, Non-Hispanic",8419
"17089.Black, Non-Hispanic",20563
17089.Hispanic,109494
"17089.Other, Non-Hispanic",20692
"17089.White, Non-Hispanic",242928
"17091.Black, Non-Hispanic",11864
17091.Hispanic,7221
"17091.Other, Non-Hispanic",1759
"17091.White, Non-Hispanic",64286
"17093.Black, Non-Hispanic",6441
17093.Hispanic,15245
"17093.Other, Non-Hispanic",3608
"17093.White, Non-Hispanic",64423
"17095.Black, Non-Hispanic",3361
17095.Hispanic,2011
"17095.Other, Non-Hispanic",732
"17095.White, Non-Hispanic",34414
"17097.Black, Non-Hispanic",35188
17097.Hispanic,98158
"17097.Other, Non-Hispanic",49192
"17097.White, Non-Hispanic",347390
"17099.Black, Non-Hispanic",2332
17099.Hispanic,6747
"17099.Other, Non-Hispanic",1449
"17099.White, Non-Hispanic",75496
"17101.Black, Non-Hispanic",1308
17101.Hispanic,586
"17101.Other, Non-Hispanic",504
"17101.White, Non-Hispanic",10739
"17103.Black, Non-Hispanic",1650
17103.Hispanic,1511
"17103.Other, Non-Hispanic",538
"17103.White, Non-Hispanic",23881
"17105.Black, Non-Hispanic",1271
17105.Hispanic,1099
"17105.Other, Non-Hispanic",583
"17105.White, Non-Hispanic",25347
"17107.Black, Non-Hispanic",1973
17107.Hispanic,776
"17107.Other, Non-Hispanic",605
"17107.White, Non-Hispanic",20042
"17109.Black, Non-Hispanic",1231
17109.Hispanic,636
"17109.Other, Non-Hispanic",960
"17109.White, Non-Hispanic",22428
"17111.Black, Non-Hispanic",3196
17111.Hispanic,25505
"17111.Other, Non-Hispanic",9052
"17111.White, Non-Hispanic",196615
"17113.Black, Non-Hispanic",10167
17113.Hispanic,5598
"17113.Other, Non-Hispanic",8624
"17113.White, Non-Hispanic",110838
"17115.Black, Non-Hispanic",11366
17115.Hispanic,1465
"17115.Other, Non-Hispanic",3732
"17115.White, Non-Hispanic",65444
"17117.Black, Non-Hispanic",389
17117.Hispanic,355
"17117.Other, Non-Hispanic",453
"17117.White, Non-Hispanic",34585
"17119.Black, Non-Hispanic",16310
17119.Hispanic,5584
"17119.Other, Non-Hispanic",4487
"17119.White, Non-Hispanic",180247
"17121.Black, Non-Hispanic",1041
17121.Hispanic,470
"17121.Other, Non-Hispanic",628
"17121.White, Non-Hispanic",26925
"17123.Black, Non-Hispanic",34
17123.Hispanic,236
"17123.Other, Non-Hispanic",122
"17123.White, Non-Hispanic",8895
"17125.Black, Non-Hispanic",78
17125.Hispanic,125
"17125.Other, Non-Hispanic",147
"17125.White, Non-Hispanic",10454
"17127.Black, Non-Hispanic",634
17127.Hispanic,275
"17127.Other, Non-Hispanic",159
"17127.White, Non-Hispanic",9948
"17129.Black, Non-Hispanic",43
17129.Hispanic,85
"17129.Other, Non-Hispanic",226
"17129.White, Non-Hispanic",9258
"17131.Black, Non-Hispanic",86
17131.Hispanic,241
"17131.Other, Non-Hispanic",115
"17131.White, Non-Hispanic",11784
"17133.Black, Non-Hispanic",60
17133.Hispanic,367
"17133.Other, Non-Hispanic",394
"17133.White, Non-Hispanic",25705
"17135.Black, Non-Hispanic",1039
17135.Hispanic,376
"17135.Other, Non-Hispanic",262
"17135.White, Non-Hispanic",21374
"17137.Black, Non-Hispanic",1902
17137.Hispanic,689
"17137.Other, Non-Hispanic",461
"17137.White, Non-Hispanic",24705
"17139.Black, Non-Hispanic",101
17139.Hispanic,131
"17139.Other, Non-Hispanic",122
"17139.White, Non-Hispanic",10609
"17141.Black, Non-Hispanic",292
17141.Hispanic,3263
"17141.Other, Non-Hispanic",693
"17141.White, Non-Hispanic",35218
"17143.Black, Non-Hispanic",22233
17143.Hispanic,5497
"17143.Other, Non-Hispanic",7973
"17143.White, Non-Hispanic",103581
"17145.Black, Non-Hispanic",1848
17145.Hispanic,559
"17145.Other, Non-Hispanic",237
"17145.White, Non-Hispanic",14564
"17147.Black, Non-Hispanic",52
17147.Hispanic,145
"17147.Other, Non-Hispanic",173
"17147.White, Non-Hispanic",12333
"17149.Black, Non-Hispanic",181
17149.Hispanic,130
"17149.Other, Non-Hispanic",151
"17149.White, Non-Hispanic",11665
"17151.Black, Non-Hispanic",177
17151.Hispanic,42
"17151.Other, Non-Hispanic",33
"17151.White, Non-Hispanic",3325
"17153.Black, Non-Hispanic",1315
17153.Hispanic,77
"17153.Other, Non-Hispanic",111
"17153.White, Non-Hispanic",2801
"17155.Black, Non-Hispanic",25
17155.Hispanic,205
"17155.Other, Non-Hispanic",92
"17155.White, Non-Hispanic",4284
"17157.Black, Non-Hispanic",3021
17157.Hispanic,763
"17157.Other, Non-Hispanic",383
"17157.White, Non-Hispanic",21913
"17159.Black, Non-Hispanic",51
17159.Hispanic,161
"17159.Other, Non-Hispanic",221
"17159.White, Non-Hispanic",11711
"17161.Black, Non-Hispanic",10375
17161.Hispanic,11955
"17161.Other, Non-Hispanic",4211
"17161.White, Non-Hispanic",85196
"17163.Black, Non-Hispanic",57136
17163.Hispanic,6917
"17163.Other, Non-Hispanic",6893
"17163.White, Non-Hispanic",129552
"17165.Black, Non-Hispanic",450
17165.Hispanic,266
"17165.Other, Non-Hispanic",585
"17165.White, Non-Hispanic",17497
"17167.Black, Non-Hispanic",17035
17167.Hispanic,2998
"17167.Other, Non-Hispanic",5402
"17167.White, Non-Hispanic",127240
"17169.Black, Non-Hispanic",560
17169.Hispanic,44
"17169.Other, Non-Hispanic",100
"17169.White, Non-Hispanic",4945
"17171.Black, Non-Hispanic",3
17171.Hispanic,37
"17171.Other, Non-Hispanic",53
"17171.White, Non-Hispanic",3815
"17173.Black, Non-Hispanic",74
17173.Hispanic,151
"17173.Other, Non-Hispanic",140
"17173.White, Non-Hispanic",16738
"17175.Black, Non-Hispanic",42
17175.Hispanic,54
"17175.Other, Non-Hispanic",67
"17175.White, Non-Hispanic",4111
"17177.Black, Non-Hispanic",3093
17177.Hispanic,1036
"17177.Other, Non-Hispanic",749
"17177.White, Non-Hispanic",30480
"17179.Black, Non-Hispanic",1295
17179.Hispanic,2103
"17179.Other, Non-Hispanic",1976
"17179.White, Non-Hispanic",97446
"17181.Black, Non-Hispanic",171
17181.Hispanic,554
"17181.Other, Non-Hispanic",263
"17181.White, Non-Hispanic",12390
"17183.Black, Non-Hispanic",7269
17183.Hispanic,2401
"17183.Other, Non-Hispanic",1170
"17183.White, Non-Hispanic",48284
"17185.Black, Non-Hispanic",53
17185.Hispanic,214
"17185.Other, Non-Hispanic",204
"17185.White, Non-Hispanic",8508
"17187.Black, Non-Hispanic",382
17187.Hispanic,1009
"17187.Other, Non-Hispanic",475
"17187.White, Non-Hispanic",11524
"17189.Black, Non-Hispanic",78
17189.Hispanic,118
"17189.Other, Non-Hispanic",90
"17189.White, Non-Hispanic",10733
"17191.Black, Non-Hispanic",106
17191.Hispanic,81
"17191.Other, Non-Hispanic",215
"17191.White, Non-Hispanic",12276
"17193.Black, Non-Hispanic",90
17193.Hispanic,172
"17193.Other, Non-Hispanic",152
"17193.White, Non-Hispanic",10460
"17195.Black, Non-Hispanic",700
17195.Hispanic,4412
"17195.Other, Non-Hispanic",504
"17195.White, Non-Hispanic",37924
"17197.Black, Non-Hispanic",58888
17197.Hispanic,78104
"17197.Other, Non-Hispanic",35349
"17197.White, Non-Hispanic",342635
"17199.Black, Non-Hispanic",2399
17199.Hispanic,1180
"17199.Other, Non-Hispanic",1163
"17199.White, Non-Hispanic",47677
"17201.Black, Non-Hispanic",25793
17201.Hispanic,22450
"17201.Other, Non-Hispanic",8861
"17201.White, Non-Hispanic",160625
"17203.Black, Non-Hispanic",174
17203.Hispanic,445
"17203.Other, Non-Hispanic",462
"17203.White, Non-Hispanic",28216
"18001.Black, Non-Hispanic",232
18001.Hispanic,1018
"18001.Other, Non-Hispanic",171
"18001.White, Non-Hispanic",22867
"18003.Black, Non-Hispanic",30087
18003.Hispanic,16732
"18003.Other, Non-Hispanic",15668
"18003.White, Non-Hispanic",213781
"18005.Black, Non-Hispanic",1169
18005.Hispanic,3204
"18005.Other, Non-Hispanic",5805
"18005.White, Non-Hispanic",52532
"18007.Black, Non-Hispanic",35
18007.Hispanic,278
"18007.Other, Non-Hispanic",107
"18007.White, Non-Hispanic",6095
"18009.Black, Non-Hispanic",4
18009.Hispanic,104
"18009.Other, Non-Hispanic",228
"18009.White, Non-Hispanic",9085
"18011.Black, Non-Hispanic",798
18011.Hispanic,1263
"18011.Other, Non-Hispanic",1932
"18011.White, Non-Hispanic",44181
"18013.Black, Non-Hispanic",74
18013.Hispanic,178
"18013.Other, Non-Hispanic",279
"18013.White, Non-Hispanic",11853
"18015.Black, Non-Hispanic",158
18015.Hispanic,542
"18015.Other, Non-Hispanic",97
"18015.White, Non-Hispanic",14797
"18017.Black, Non-Hispanic",322
18017.Hispanic,3484
"18017.Other, Non-Hispanic",955
"18017.White, Non-Hispanic",24308
"18019.Black, Non-Hispanic",6111
18019.Hispanic,3828
"18019.Other, Non-Hispanic",3054
"18019.White, Non-Hispanic",77077
"18021.Black, Non-Hispanic",196
18021.Hispanic,91
"18021.Other, Non-Hispanic",376
"18021.White, Non-Hispanic",19543
"18023.Black, Non-Hispanic",153
18023.Hispanic,2848
"18023.Other, Non-Hispanic",301
"18023.White, Non-Hispanic",20530
"18025.Black, Non-Hispanic",41
18025.Hispanic,60
"18025.Other, Non-Hispanic",69
"18025.White, Non-Hispanic",7977
"18027.Black, Non-Hispanic",451
18027.Hispanic,802
"18027.Other, Non-Hispanic",317
"18027.White, Non-Hispanic",21853
"18029.Black, Non-Hispanic",310
18029.Hispanic,415
"18029.Other, Non-Hispanic",453
"18029.White, Non-Hispanic",37036
"18031.Black, Non-Hispanic",89
18031.Hispanic,317
"18031.Other, Non-Hispanic",533
"18031.White, Non-Hispanic",19182
"18033.Black, Non-Hispanic",163
18033.Hispanic,769
"18033.Other, Non-Hispanic",375
"18033.White, Non-Hispanic",31150
"18035.Black, Non-Hispanic",6160
18035.Hispanic,1977
"18035.Other, Non-Hispanic",2699
"18035.White, Non-Hispanic",82868
"18037.Black, Non-Hispanic",297
18037.Hispanic,1837
"18037.Other, Non-Hispanic",156
"18037.White, Non-Hispanic",29823
"18039.Black, Non-Hispanic",7622
18039.Hispanic,18931
"18039.Other, Non-Hispanic",4231
"18039.White, Non-Hispanic",117052
"18041.Black, Non-Hispanic",436
18041.Hispanic,185
"18041.Other, Non-Hispanic",103
"18041.White, Non-Hispanic",17346
"18043.Black, Non-Hispanic",2753
18043.Hispanic,1509
"18043.Other, Non-Hispanic",1764
"18043.White, Non-Hispanic",53670
"18045.Black, Non-Hispanic",25
18045.Hispanic,258
"18045.Other, Non-Hispanic",219
"18045.White, Non-Hispanic",12294
"18047.Black, Non-Hispanic",33
18047.Hispanic,112
"18047.Other, Non-Hispanic",224
"18047.White, Non-Hispanic",16966
"18049.Black, Non-Hispanic",186
18049.Hispanic,643
"18049.Other, Non-Hispanic",270
"18049.White, Non-Hispanic",14261
"18051.Black, Non-Hispanic",534
18051.Hispanic,336
"18051.Other, Non-Hispanic",426
"18051.White, Non-Hispanic",24392
"18053.Black, Non-Hispanic",3507
18053.Hispanic,1798
"18053.Other, Non-Hispanic",1380
"18053.White, Non-Hispanic",45958
"18055.Black, Non-Hispanic",97
18055.Hispanic,283
"18055.Other, Non-Hispanic",342
"18055.White, Non-Hispanic",24377
"18057.Black, Non-Hispanic",9165
18057.Hispanic,8213
"18057.Other, Non-Hispanic",17459
"18057.White, Non-Hispanic",199733
"18059.Black, Non-Hispanic",1197
18059.Hispanic,1144
"18059.Other, Non-Hispanic",1526
"18059.White, Non-Hispanic",53615
"18061.Black, Non-Hispanic",245
18061.Hispanic,466
"18061.Other, Non-Hispanic",399
"18061.White, Non-Hispanic",29786
"18063.Black, Non-Hispanic",8480
18063.Hispanic,4143
"18063.Other, Non-Hispanic",4842
"18063.White, Non-Hispanic",104921
"18065.Black, Non-Hispanic",1140
18065.Hispanic,593
"18065.Other, Non-Hispanic",685
"18065.White, Non-Hispanic",35964
"18067.Black, Non-Hispanic",4488
18067.Hispanic,1785
"18067.Other, Non-Hispanic",1876
"18067.White, Non-Hispanic",55533
"18069.Black, Non-Hispanic",210
18069.Hispanic,608
"18069.Other, Non-Hispanic",581
"18069.White, Non-Hispanic",27128
"18071.Black, Non-Hispanic",390
18071.Hispanic,1625
"18071.Other, Non-Hispanic",1145
"18071.White, Non-Hispanic",30085
"18073.Black, Non-Hispanic",144
18073.Hispanic,1271
"18073.Other, Non-Hispanic",422
"18073.White, Non-Hispanic",23731
"18075.Black, Non-Hispanic",64
18075.Hispanic,492
"18075.Other, Non-Hispanic",178
"18075.White, Non-Hispanic",14827
"18077.Black, Non-Hispanic",514
18077.Hispanic,516
"18077.Other, Non-Hispanic",581
"18077.White, Non-Hispanic",23954
"18079.Black, Non-Hispanic",341
18079.Hispanic,384
"18079.Other, Non-Hispanic",197
"18079.White, Non-Hispanic",20369
"18081.Black, Non-Hispanic",2542
18081.Hispanic,3386
"18081.Other, Non-Hispanic",5109
"18081.White, Non-Hispanic",104398
"18083.Black, Non-Hispanic",873
18083.Hispanic,462
"18083.Other, Non-Hispanic",647
"18083.White, Non-Hispanic",27136
"18085.Black, Non-Hispanic",434
18085.Hispanic,3810
"18085.Other, Non-Hispanic",1859
"18085.White, Non-Hispanic",53859
"18087.Black, Non-Hispanic",71
18087.Hispanic,937
"18087.Other, Non-Hispanic",397
"18087.White, Non-Hispanic",24944
"18089.Black, Non-Hispanic",83769
18089.Hispanic,63390
"18089.Other, Non-Hispanic",10475
"18089.White, Non-Hispanic",213136
"18091.Black, Non-Hispanic",9366
18091.Hispanic,4636
"18091.Other, Non-Hispanic",1738
"18091.White, Non-Hispanic",70634
"18093.Black, Non-Hispanic",170
18093.Hispanic,456
"18093.Other, Non-Hispanic",607
"18093.White, Non-Hispanic",34326
"18095.Black, Non-Hispanic",8000
18095.Hispanic,3056
"18095.Other, Non-Hispanic",2356
"18095.White, Non-Hispanic",87816
"18097.Black, Non-Hispanic",189247
18097.Hispanic,57866
"18097.Other, Non-Hispanic",39121
"18097.White, Non-Hispanic",430319
"18099.Black, Non-Hispanic",165
18099.Hispanic,2843
"18099.Other, Non-Hispanic",539
"18099.White, Non-Hispanic",31135
"18101.Black, Non-Hispanic",77
18101.Hispanic,59
"18101.Other, Non-Hispanic",87
"18101.White, Non-Hispanic",7713
"18103.Black, Non-Hispanic",1674
18103.Hispanic,753
"18103.Other, Non-Hispanic",683
"18103.White, Non-Hispanic",25026
"18105.Black, Non-Hispanic",3630
18105.Hispanic,3765
"18105.Other, Non-Hispanic",11944
"18105.White, Non-Hispanic",104011
"18107.Black, Non-Hispanic",178
18107.Hispanic,1084
"18107.Other, Non-Hispanic",743
"18107.White, Non-Hispanic",27598
"18109.Black, Non-Hispanic",238
18109.Hispanic,742
"18109.Other, Non-Hispanic",827
"18109.White, Non-Hispanic",52124
"18111.Black, Non-Hispanic",33
18111.Hispanic,581
"18111.Other, Non-Hispanic",34
"18111.White, Non-Hispanic",10348
"18113.Black, Non-Hispanic",144
18113.Hispanic,2937
"18113.Other, Non-Hispanic",569
"18113.White, Non-Hispanic",31867
"18115.Black, Non-Hispanic",22
18115.Hispanic,46
"18115.Other, Non-Hispanic",76
"18115.White, Non-Hispanic",4601
"18117.Black, Non-Hispanic",336
18117.Hispanic,87
"18117.Other, Non-Hispanic",203
"18117.White, Non-Hispanic",14415
"18119.Black, Non-Hispanic",95
18119.Hispanic,133
"18119.Other, Non-Hispanic",349
"18119.White, Non-Hispanic",15842
"18121.Black, Non-Hispanic",99
18121.Hispanic,205
"18121.Other, Non-Hispanic",425
"18121.White, Non-Hispanic",12579
"18123.Black, Non-Hispanic",463
18123.Hispanic,146
"18123.Other, Non-Hispanic",221
"18123.White, Non-Hispanic",14189
"18125.Black, Non-Hispanic",52
18125.Hispanic,46
"18125.Other, Non-Hispanic",65
"18125.White, Non-Hispanic",9382
"18127.Black, Non-Hispanic",4450
18127.Hispanic,11550
"18127.Other, Non-Hispanic",3632
"18127.White, Non-Hispanic",111500
"18129.Black, Non-Hispanic",299
18129.Hispanic,129
"18129.Other, Non-Hispanic",201
"18129.White, Non-Hispanic",19247
"18131.Black, Non-Hispanic",14
18131.Hispanic,249
"18131.Other, Non-Hispanic",168
"18131.White, Non-Hispanic",9256
"18133.Black, Non-Hispanic",944
18133.Hispanic,514
"18133.Other, Non-Hispanic",1097
"18133.White, Non-Hispanic",27541
"18135.Black, Non-Hispanic",129
18135.Hispanic,467
"18135.Other, Non-Hispanic",374
"18135.White, Non-Hispanic",18215
"18137.Black, Non-Hispanic",83
18137.Hispanic,309
"18137.Other, Non-Hispanic",449
"18137.White, Non-Hispanic",20802
"18139.Black, Non-Hispanic",187
18139.Hispanic,174
"18139.Other, Non-Hispanic",124
"18139.White, Non-Hispanic",12390
"18141.Black, Non-Hispanic",23510
18141.Hispanic,14327
"18141.Other, Non-Hispanic",10314
"18141.White, Non-Hispanic",158033
"18143.Black, Non-Hispanic",46
18143.Hispanic,498
"18143.Other, Non-Hispanic",239
"18143.White, Non-Hispanic",17658
"18145.Black, Non-Hispanic",389
18145.Hispanic,1103
"18145.Other, Non-Hispanic",671
"18145.White, Non-Hispanic",32140
"18147.Black, Non-Hispanic",123
18147.Hispanic,352
"18147.Other, Non-Hispanic",174
"18147.White, Non-Hispanic",15273
"18149.Black, Non-Hispanic",43
18149.Hispanic,598
"18149.Other, Non-Hispanic",107
"18149.White, Non-Hispanic",16797
"18151.Black, Non-Hispanic",96
18151.Hispanic,735
"18151.Other, Non-Hispanic",543
"18151.White, Non-Hispanic",26008
"18153.Black, Non-Hispanic",779
18153.Hispanic,262
"18153.Other, Non-Hispanic",355
"18153.White, Non-Hispanic",15257
"18155.Black, Non-Hispanic",76
18155.Hispanic,89
"18155.Other, Non-Hispanic",142
"18155.White, Non-Hispanic",7692
"18157.Black, Non-Hispanic",7142
18157.Hispanic,10013
"18157.Other, Non-Hispanic",16040
"18157.White, Non-Hispanic",118897
"18159.Black, Non-Hispanic",15
18159.Hispanic,298
"18159.Other, Non-Hispanic",194
"18159.White, Non-Hispanic",11498
